Stroke,12v,24v,Sensor,Force,Type,URL,Name,Image,Price,minmax
1_2_3_4_5_6,12v,,,4.4,Rod,f12-micro-linear-actuators,F12 Micro Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/F12MICROLINEARACTUATOR2_300x300.png?v=1657214665,69.95,4.4-4.4
1_2_3_4,12v,,Hall,4.5,Rod,micro-actuators,Micro Pen Actuator with Feedback,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_300x300.jpg?v=1674673967,135.95,4-22
1_2_3_4,12v,,,4.5,Rod,micro-actuators-12v,Micro Pen Actuators 12v,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_b4c6eaf4-7c05-4264-8843-b997ea2a90f4_300x300.jpg?v=1674675243,135.95,4-22
1_2_3_4_5_6_7_8,12v,,,8,Rod,micro-utility-actuator,Micro Utility Actuator,//cdn.shopify.com/s/files/1/0615/2193/files/Micro_Utility_Actuator_1600x_58830a75-00c1-4e81-b3ed-63eacd233cda.webp?v=1726072406,75.00,8-38
1_2_3_4,12v,,Hall,11,Rod,micro-actuators,Micro Pen Actuator with Feedback,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_300x300.jpg?v=1674673967,135.95,4-22
1_2_3_4_5_6_7_8,12v,,,11,Rod,silent-micro-linear-actuator,Silent Micro Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/silentactuator_300x300.png?v=1674610179,74.95,22-22
2_4_6_8_10_12,12v,,,15,Rod,mini-rod-actuator,Mini Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-mini-linear-actuator_1_-min_800x_6e14b40d-c42b-4167-bfe3-49309932297e_300x300.jpg?v=1645128028,108.99,15-15
1_2_3_4_5_6_7_8,12v,,,16,Rod,micro-utility-actuator,Micro Utility Actuator,//cdn.shopify.com/s/files/1/0615/2193/files/Micro_Utility_Actuator_1600x_58830a75-00c1-4e81-b3ed-63eacd233cda.webp?v=1726072406,75.00,8-38
1_2_3_4_5_6_7_8,12v,24v,,20,Rod,bullet-series-mini-actuators,Bullet Series Mini Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-mini-linear-actuator-min_800x_31ef02e2-977f-4449-8c42-161b40474911_300x300.jpg?v=1645128246,160.00,20-110
2_4_6_8_10_12_18_22_24_28_32_36_38,12v,,,22,Rod,high-speed-actuator,High Speed Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-high-speed-linear-actuator_1_-min_800x_acd90cf3-3e8a-46d6-bdd3-b9ff38473954_300x300.jpg?v=1645127615,149.00,22-22
1_2_3_4,12v,,Hall,22,Rod,micro-actuators,Micro Pen Actuator with Feedback,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_300x300.jpg?v=1674673967,135.95,4-22
1_2_3_4,12v,,,22,Rod,micro-actuators-12v,Micro Pen Actuators 12v,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_b4c6eaf4-7c05-4264-8843-b997ea2a90f4_300x300.jpg?v=1674675243,135.95,4-22
6_9_12_18_24_28,12v,,,22,Rod,bullet-series-35-cal-linear-actuators,Bullet Series 35 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/bullet35actuator_300x300.jpg?v=1657928987,169.00,22-270
1_2_3_4_5_6_8_10_12,12v,24v,,26,Rod,bullet-series-23-cal,Bullet Series 23 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-23cal_1_-min_800x_e53b131d-8a2e-4650-8219-b447c8a78ec2_300x300.jpg?v=1645128068,160.00,26-26
1_2_3_4_6_9_12_18_24,12v,24v,,35,Rod,light-duty-rod-actuator,Class Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/classic-linear-actuator-full_1_300x300.jpg?v=1663963255,119.99,35-200
1_2_3_4_6_9_12_18_24_30,12v,,,35,Rod,premium-linear-actuators,P-Series Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/FA-35-12-X-P_v2_2x_800x_2eb6bb6a-56f7-4f48-9b9f-4aee196c91c1_300x300.jpg?v=1645127440,136.95,35-200
2_3_4_6_8_12,12v,24v,Pot,35,Rod,feedback-rod-actuator,Feedback Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-feedback-rod-linear-actuator_1366x_175d02f7-2d79-404e-a4dd-6c8445bbbff6_300x300.jpg?v=1645125764,152.95,35-200
1_3_6_9_12_18_24_30,12v,,Optical,35,Rod,os-series,Optical Feedback Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-premium-optical-feedback-linear-actuator_2_-min_800x_e2a5fc24-9922-486f-81e2-443e8f1d0848_300x300.jpg?v=1645127346,159.99,35-400
5_10_15_20_25,12v,,,35,Track,mini-track-actuator,Mini Track Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-mini-track-actuator_1_-min_800x_2456bcb5-b536-42c6-8210-c5d748235a8a_300x300.jpg?v=1645127898,119.95,35-35
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30,12v,,,35,Rod,adjustable-stroke-linear-actuators,Adjustable Stroke Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Adjustablelimitswitchactuator4_1366x_6ad2228d-f90b-482d-8638-6f32a2086557_300x300.jpg?v=1645125144,154.95,35-200
1_2_3_4_5_6_7_8,12v,,,38,Rod,micro-utility-actuator,Micro Utility Actuator,//cdn.shopify.com/s/files/1/0615/2193/files/Micro_Utility_Actuator_1600x_58830a75-00c1-4e81-b3ed-63eacd233cda.webp?v=1726072406,75.00,8-38
3_6_9_12_18_22_24_30,12v,,,40,Rod,tubular-linear-actuator,Sleek Rod Tubular Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-sleek-rod-tubular-linear-actuator_1_-min_800x_42dcbbe2-d8b4-44e2-b038-220b48bc8994_300x300.jpg?v=1645127959,139.99,40-150
1_2_3_4_5_6_8_9_10_12_14_16_18_22_24_28_30,12v,,,45,Rod,c-series-actuators,C-Series Actuators,//cdn.shopify.com/s/files/1/0615/2193/files/C_Series_Actuator.jpg?v=1740078685,129.00,45-225
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30_31_32_33_34_35_36_37_38_39,12v,24v,,80,Column,electric-column-lift,Column Lift Actuator,//cdn.shopify.com/s/files/1/0615/2193/products/columnlift_300x300.jpg?v=1674677574,301.95,80-180
6_9_12_18_24_28,12v,,,90,Rod,bullet-series-35-cal-linear-actuators,Bullet Series 35 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/bullet35actuator_300x300.jpg?v=1657928987,169.00,22-270
3_6_9_12_15_18_24_30_32_34_36,12v,,,100,Rod,deluxe-rod-actuator,Deluxe Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-deluxe-rod-linear-actuator_1_-min_800x_d32a6b94-784d-49b6-a1f4-bfa7b529c333_300x300.jpg?v=1645127535,159.99,100-100
1_2_3_4_5_6_7_8,12v,24v,,110,Rod,bullet-series-mini-actuators,Bullet Series Mini Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-mini-linear-actuator-min_800x_31ef02e2-977f-4449-8c42-161b40474911_300x300.jpg?v=1645128246,160.00,20-110
2_4_6_8_10_12,12v,,Hall,110,Rod,utility-linear-actuators,Utility Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/mainUtilityImage_300x300.jpg?v=1674509333,149.95,110-330
1_2_3_4_5_6_8_9_10_12_14_16_18_22_24_28_30,12v,,,135,Rod,c-series-actuators,C-Series Actuators,//cdn.shopify.com/s/files/1/0615/2193/files/C_Series_Actuator.jpg?v=1740078685,129.00,45-225
1_2_3_4_6_9_12_18_24,12v,24v,,150,Rod,linear-actuators,Class Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/classic-linear-actuator-full_1_300x300.jpg?v=1663963255,119.99,35-200
1_2_3_4_6_9_12_18_24_30,12v,,,150,Rod,premium-linear-actuators,P-Series Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/FA-35-12-X-P_v2_2x_800x_2eb6bb6a-56f7-4f48-9b9f-4aee196c91c1_300x300.jpg?v=1645127440,136.95,35-200
2_3_4_6_8_12,12v,24v,Pot,150,Rod,feedback-rod-actuator,Feedback Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-feedback-rod-linear-actuator_1366x_175d02f7-2d79-404e-a4dd-6c8445bbbff6_300x300.jpg?v=1645125764,152.95,35-200
3_6_9_12_18_22_24_30,12v,,,150,Rod,tubular-linear-actuator,Sleek Rod Tubular Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-sleek-rod-tubular-linear-actuator_1_-min_800x_42dcbbe2-d8b4-44e2-b038-220b48bc8994_300x300.jpg?v=1645127959,139.99,40-150
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30,12v,,,150,Rod,adjustable-stroke-linear-actuators,Adjustable Stroke Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Adjustablelimitswitchactuator4_1366x_6ad2228d-f90b-482d-8638-6f32a2086557_300x300.jpg?v=1645125144,154.95,35-200
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30_31_32_33_34_35_36_37_38_39,12v,24v,,180,Column,electric-column-lift,Column Lift Actuator,//cdn.shopify.com/s/files/1/0615/2193/products/columnlift_300x300.jpg?v=1674677574,301.95,80-180
6_9_12_18_24_28,12v,,,180,Rod,bullet-series-35-cal-linear-actuators,Bullet Series 35 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/bullet35actuator_300x300.jpg?v=1657928987,169.00,22-270
1_2_3_4_6_9_12_18_24,12v,24v,,200,Rod,linear-actuators,Class Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/classic-linear-actuator-full_1_300x300.jpg?v=1663963255,119.99,35-200
1_2_3_4_6_9_12_18_24_30,12v,,,200,Rod,premium-linear-actuators,P-Series Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/FA-35-12-X-P_v2_2x_800x_2eb6bb6a-56f7-4f48-9b9f-4aee196c91c1_300x300.jpg?v=1645127440,136.95,35-200
2_3_4_6_8_12,12v,24v,Pot,200,Rod,feedback-rod-actuator,Feedback Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-feedback-rod-linear-actuator_1366x_175d02f7-2d79-404e-a4dd-6c8445bbbff6_300x300.jpg?v=1645125764,152.95,35-200
1_3_6_9_12_18_24_30,12v,,Optical,200,Rod,optical-sensor-actuators,Optical Feedback Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-premium-optical-feedback-linear-actuator_2_-min_800x_e2a5fc24-9922-486f-81e2-443e8f1d0848_300x300.jpg?v=1645127346,159.99,35-400
3_6_9_12_15_18_24_28_30,12v,,,200,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,139.99,200-1000
5_10_20_30_40_50_60,12v,,,200,Rod,heavy-duty-linear-actuator-ip66,Heavy Duty Rod Actuators - IP66 Rated,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-deluxe-rod-linear-actuator_1_-min_800x_ab549565-d319-4961-94ad-439f76566e8a_300x300.jpg?v=1645125850,239.99,200-200
10_20_30_40_50_60,,24v,,200,Track,heavy-duty-track-actuator,Heavy Duty Track Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-track-actuator_1_-min_800x_070f5610-365d-4d4f-8851-e4136d4959c7_300x300.jpg?v=1645125975,249.99,200-400
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30,12v,,,200,Rod,adjustable-stroke-linear-actuators,Adjustable Stroke Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Adjustablelimitswitchactuator4_1366x_6ad2228d-f90b-482d-8638-6f32a2086557_300x300.jpg?v=1645125144,154.95,35-200
2_4_6_8_10_12_14_16_18_20_22_24,12v,,Hall,220,Rod,super-duty-actuators,Super Duty Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/newsuperdutyactuator_300x300.jpg?v=1679335009,149.95,220-450
6_8_10_12_14_18_22_24,12v,24v,Hall,224,Rod,bullet-series-36-cal-linear-actuators,Bullet Series 36 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-36cal_2_-min_800x_6da40551-277f-4e4f-b4fc-a50064721b87_300x300.jpg?v=1645128113,185,224-224
1_2_3_4_5_6_8_9_10_12_14_16_18_22_24_28_30,12v,,,225,Rod,c-series-actuators,C-Series Actuators,//cdn.shopify.com/s/files/1/0615/2193/files/C_Series_Actuator.jpg?v=1740078685,129.00,45-225
6_9_12_18_24_28,12v,,,270,Rod,bullet-series-35-cal-linear-actuators,Bullet Series 35 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/bullet35actuator_300x300.jpg?v=1657928987,169.00,22-270
2_4_6_8_10_12,12v,,Hall,330,Rod,utility-linear-actuators,Utility Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/mainUtilityImage_300x300.jpg?v=1674509333,149.95,110-330
2_4_6_9_12_18_24_30,12v,,,400,Rod,premium-high-force-linear-actuators,P-Series High Force Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/high_froce_premium-min-2_300x300.jpg?v=1674512685,149.99,400-400
1_3_6_9_12_18_24_30,12v,,Optical,400,Rod,optical-sensor-actuators,Optical Feedback Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-premium-optical-feedback-linear-actuator_2_-min_800x_e2a5fc24-9922-486f-81e2-443e8f1d0848_300x300.jpg?v=1645127346,159.99,35-400
3_6_9_12_15_18_24_28_30,12v,,,400,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,139.99,200-1000
10_20_30_40_50_60,,24v,,400,Track,heavy-duty-track-actuator,Heavy Duty Track Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-track-actuator_1_-min_800x_070f5610-365d-4d4f-8851-e4136d4959c7_300x300.jpg?v=1645125975,249.99,200-400
2_4_6_8_10_12_14_16_18_20_22_24,12v,,Hall,450,Rod,super-duty-actuators,Super Duty Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/newsuperdutyactuator_300x300.jpg?v=1679335009,149.95,220-450
6_8_10_12_18_24_30_36_40,12v,24v,Hall,500,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,279.99,500-1124
6_8_10_12_18_24_30_36_40,12v,24v,Hall,674,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,279.99,500-1124
3_6_9_12_15_18_24_28_30,12v,,,1000,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,139.99,200-1000
6_8_10_12_18_24_30_36_40,12v,24v,Hall,1124,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,279.99,500-1124
10_15_20_25_30_35,12v,24v,,2200,Rod,industrial-heavy-duty-linear-actuators,Industrial Heavy Duty Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-industrial-heavy-duty-linear-actuator_1_-min_1_800x_e905f09f-362a-4aae-af51-11a071ffa8b9_300x300.jpg?v=1645125886,465.00,2200-2200
10_15_20_25_30,,24v,Hall,2200,Rod,industrial-feedback-actuators,Industrial Actuators with Feedback,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-industrial-heavy-duty-linear-actuator_1_-min_1_800x-Copy_300x300.jpg?v=1671139780,485.00,2200-2200
5_10_15_20_25_30_35_40_45_50,12v,,Pot,,Rod,potentiometer,Linear Potentiometer Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Linear-potentiometer-min_1_-min_300x300.jpg?v=1627063612,89.00,0-0